"Local.Date.and.Time","participant","trial","Emo","Response","onset_t","react_t","csum_t","t_s","t_m"
"17/10/2024 12:04:06","M62490",4,"happy",50,3999,8698,104013,219,3.65
"17/10/2024 12:04:13","M62490",4,"frustrated",43,1351,6799,110812,226,3.76666666666667
"17/10/2024 12:04:19","M62490",4,"bored",68,1268,5917,116729,232,3.86666666666667
"17/10/2024 12:04:57","M62490",5,"bored",66,3784,7117,123846,270,4.5
"17/10/2024 12:05:02","M62490",5,"happy",47,3167,5482,129328,275,4.58333333333333
"17/10/2024 12:05:08","M62490",5,"frustrated",44,1500,5416,134744,281,4.68333333333333
"17/10/2024 12:05:50","M62490",6,"frustrated",44,4816,10983,145727,323,5.38333333333333
"17/10/2024 12:05:56","M62490",6,"bored",63,1734,6383,152110,329,5.48333333333333
"17/10/2024 12:06:00","M62490",6,"happy",48,2383,4317,156427,333,5.55
"17/10/2024 12:06:37","M62490",7,"happy",47,4050,6265,162692,370,6.16666666666667
"17/10/2024 12:06:43","M62490",7,"frustrated",44,1251,5301,167993,376,6.26666666666667
"17/10/2024 12:06:52","M62490",7,"bored",70,2300,9782,177775,385,6.41666666666667
"17/10/2024 12:07:38","M62490",8,"frustrated",42,9616,14482,192257,431,7.18333333333333
"17/10/2024 12:07:44","M62490",8,"happy",45,2700,5683,197940,437,7.28333333333333
"17/10/2024 12:07:49","M62490",8,"bored",71,3717,5050,202990,442,7.36666666666667
"17/10/2024 12:08:36","M62490",9,"frustrated",44,10983,15951,218941,489,8.15
"17/10/2024 12:08:41","M62490",9,"bored",71,2016,5616,224557,494,8.23333333333333
"17/10/2024 12:08:47","M62490",9,"happy",44,2133,5515,230072,500,8.33333333333333
"17/10/2024 12:09:35","M62490",10,"happy",47,12834,17586,247658,548,9.13333333333333
"17/10/2024 12:09:41","M62490",10,"bored",74,2516,6200,253858,554,9.23333333333333
"17/10/2024 12:09:47","M62490",10,"frustrated",47,2500,5334,259192,560,9.33333333333333
"17/10/2024 12:10:32","M62490",11,"happy",43,9416,14666,273858,605,10.0833333333333
"17/10/2024 12:10:36","M62490",11,"bored",71,2433,3815,277673,609,10.15
"17/10/2024 12:10:42","M62490",11,"frustrated",49,902,5817,283490,615,10.25
"17/10/2024 12:11:19","M62490",12,"frustrated",50,3751,6082,289572,652,10.8666666666667
"17/10/2024 12:11:23","M62490",12,"happy",40,2383,3781,293353,656,10.9333333333333
"17/10/2024 12:11:28","M62490",12,"bored",77,1184,4999,298352,661,11.0166666666667
"17/10/2024 16:44:31","M67813",0,"frustrated",0,2665.8,5108.80000000298,5108.80000000298,0,0
"17/10/2024 16:44:35","M67813",0,"bored",100,3132.4,4019.9,9128.70000000298,4,0.0666666666666667
"17/10/2024 16:44:39","M67813",0,"happy",49,1866,3614.10000000224,12742.8000000052,8,0.133333333333333
"17/10/2024 16:45:17","M67813",1,"bored",100,3598.8,6830.89999999999,19573.7000000052,46,0.766666666666667
"17/10/2024 16:45:29","M67813",1,"happy",51,11629.5,12689.4000000022,32263.1000000074,58,0.966666666666667
"17/10/2024 16:45:47","M67813",1,"frustrated",0,16394.7,17420.9000000022,49684.0000000096,76,1.26666666666667
"17/10/2024 16:46:24","M67813",2,"frustrated",0,5048.5,6372.10000000001,56056.1000000096,113,1.88333333333333
"17/10/2024 16:46:28","M67813",2,"bored",100,3081.89999999999,3804.30000000299,59860.4000000126,117,1.95
"17/10/2024 16:46:30","M67813",2,"happy",50,1649.5,2460.90000000148,62321.3000000141,119,1.98333333333333
"17/10/2024 16:47:09","M67813",3,"happy",50,5564.90000000002,7378.60000000225,69699.9000000163,158,2.63333333333333
"17/10/2024 16:47:13","M67813",3,"bored",97,2999,4332.19999999998,74032.1000000163,162,2.7
"17/10/2024 16:47:18","M67813",3,"frustrated",0,1982.60000000001,5090.90000000299,79123.0000000193,167,2.78333333333333
"17/10/2024 16:47:56","M67813",4,"bored",100,4048.5,6839.00000000297,85962.0000000223,205,3.41666666666667
"17/10/2024 16:48:01","M67813",4,"happy",50,3548.89999999999,4527.80000000223,90489.8000000245,210,3.5
"17/10/2024 16:48:05","M67813",4,"frustrated",0,3299.30000000002,4515.29999999999,95005.1000000245,214,3.56666666666667
"17/10/2024 16:48:41","M67813",5,"frustrated",0,2699.20000000001,5169.100000003,100174.200000028,250,4.16666666666667
"17/10/2024 16:48:44","M67813",5,"happy",60,2165.79999999999,2937.20000000222,103111.40000003,253,4.21666666666667
"17/10/2024 16:48:52","M67813",5,"bored",85,1982.79999999999,7926.80000000296,111038.200000033,261,4.35
"17/10/2024 16:49:26","M67813",6,"bored",86,2648.89999999997,3498.89999999997,114537.100000033,295,4.91666666666667
"17/10/2024 16:49:32","M67813",6,"frustrated",0,4048.59999999998,5307.20000000298,119844.300000036,301,5.01666666666667
"17/10/2024 16:49:36","M67813",6,"happy",58,1049.60000000003,4677.30000000226,124521.600000038,305,5.08333333333333
"17/10/2024 16:50:14","M67813",7,"frustrated",0,4181.79999999999,6284.00000000297,130805.600000041,343,5.71666666666667
"17/10/2024 16:50:19","M67813",7,"happy",57,1816,5197.40000000072,136003.000000042,348,5.8
"17/10/2024 16:50:27","M67813",7,"bored",90,6931,8045.40000000072,144048.400000042,356,5.93333333333333
"17/10/2024 16:51:06","M67813",8,"happy",56,6847.69999999995,7680.79999999999,151729.200000042,395,6.58333333333333
"17/10/2024 16:51:08","M67813",8,"frustrated",0,1549.5,2925.90000000224,154655.100000045,397,6.61666666666667
"17/10/2024 16:51:11","M67813",8,"bored",86,1249.70000000001,2101.600000003,156756.700000048,400,6.66666666666667
"17/10/2024 16:52:15","M67813",9,"happy",60,30739.6,33535.3000000015,190292.000000049,464,7.73333333333333
"17/10/2024 16:52:18","M67813",9,"bored",89,2299.5,3044.90000000148,193336.900000051,467,7.78333333333333
"17/10/2024 16:52:20","M67813",9,"frustrated",0,1049.70000000001,1822.30000000075,195159.200000051,469,7.81666666666667
"17/10/2024 16:52:53","M67813",10,"frustrated",0,1333,2088.20000000147,197247.400000053,502,8.36666666666667
"17/10/2024 16:53:04","M67813",10,"bored",84,10279.7,11029.2999999999,208276.700000053,513,8.55
"17/10/2024 16:53:09","M67813",10,"happy",55,2316.59999999998,5512.90000000002,213789.600000053,518,8.63333333333333
"17/10/2024 16:53:53","M67813",11,"bored",83,11596,13045.7,226835.300000053,562,9.36666666666667
"17/10/2024 16:53:56","M67813",11,"frustrated",0,1549.80000000005,2760.80000000226,229596.100000055,565,9.41666666666667
"17/10/2024 16:54:01","M67813",11,"happy",58,1732.80000000005,4781.40000000224,234377.500000057,570,9.5
"17/10/2024 16:54:37","M67813",12,"happy",52,1649.70000000007,4881.40000000002,239258.900000057,606,10.1
"17/10/2024 16:54:39","M67813",12,"frustrated",0,1999.30000000005,2709.20000000298,241968.10000006,608,10.1333333333333
"17/10/2024 16:54:42","M67813",12,"bored",87,1516.10000000009,2241.80000000005,244209.90000006,611,10.1833333333333
"17/10/2024 16:46:22","M96542",0,"happy",85,4352,5219.1,5219.1,0,0
"17/10/2024 16:46:26","M96542",0,"frustrated",11,3201.4,4201.89999999999,9420.99999999999,4,0.0666666666666667
"17/10/2024 16:46:29","M96542",0,"bored",49,2517.8,3362.09999999926,12783.0999999992,7,0.116666666666667
"17/10/2024 16:47:04","M96542",1,"happy",76,3068,3928.69999999888,16711.7999999981,42,0.7
"17/10/2024 16:47:07","M96542",1,"frustrated",9,2034.2,2874.19999999888,19585.999999997,45,0.75
"17/10/2024 16:47:11","M96542",1,"bored",35,2817.89999999999,3916.99999999962,23502.9999999966,49,0.816666666666667
"17/10/2024 16:47:45","M96542",2,"happy",68,2184.3,3345.39999999925,26848.3999999959,83,1.38333333333333
"17/10/2024 16:47:48","M96542",2,"frustrated",21,1283.90000000001,2967.90000000001,29816.2999999959,86,1.43333333333333
"17/10/2024 16:47:52","M96542",2,"bored",37,2334.39999999999,3400.59999999963,33216.8999999955,90,1.5
"17/10/2024 16:48:26","M96542",3,"frustrated",17,1734.10000000001,3677.29999999926,36894.1999999948,124,2.06666666666667
"17/10/2024 16:48:29","M96542",3,"happy",77,1600.69999999998,2384.49999999924,39278.699999994,127,2.11666666666667
"17/10/2024 16:48:32","M96542",3,"bored",26,1884.20000000001,3057.09999999963,42335.7999999937,130,2.16666666666667
"17/10/2024 16:49:07","M96542",4,"bored",23,3901.70000000001,4822.29999999926,47158.0999999929,165,2.75
"17/10/2024 16:49:12","M96542",4,"frustrated",30,3418.19999999998,4351.89999999999,51509.9999999929,170,2.83333333333333
"17/10/2024 16:49:15","M96542",4,"happy",66,1784.10000000001,2751.30000000002,54261.2999999929,173,2.88333333333333
"17/10/2024 16:49:49","M96542",5,"happy",74,2551.10000000001,3868.39999999997,58129.6999999929,207,3.45
"17/10/2024 16:49:53","M96542",5,"frustrated",32,2334.40000000002,4126.09999999852,62255.7999999914,211,3.51666666666667
"17/10/2024 16:49:58","M96542",5,"bored",25,3935.10000000001,4952.20000000001,67207.9999999914,216,3.6
"17/10/2024 16:50:37","M96542",6,"happy",71,7253.20000000001,8153.59999999998,75361.5999999914,255,4.25
"17/10/2024 16:50:42","M96542",6,"frustrated",32,2951.29999999999,4700.69999999925,80062.2999999906,260,4.33333333333333
"17/10/2024 16:50:47","M96542",6,"bored",42,3251.39999999997,5115.09999999998,85177.3999999906,265,4.41666666666667
"17/10/2024 16:51:22","M96542",7,"frustrated",30,2817.90000000002,3829.39999999927,89006.7999999899,300,5
"17/10/2024 16:51:28","M96542",7,"bored",46,1984.30000000005,6247.09999999928,95253.8999999892,306,5.1
"17/10/2024 16:51:32","M96542",7,"happy",68,2534.5,3484.59999999852,98738.4999999877,310,5.16666666666667
"17/10/2024 16:52:06","M96542",8,"bored",70,2351.09999999998,3666,102404.499999988,344,5.73333333333333
"17/10/2024 16:52:09","M96542",8,"frustrated",34,1583.90000000002,2638.70000000001,105043.199999988,347,5.78333333333333
"17/10/2024 16:52:11","M96542",8,"happy",68,1467.39999999997,2251.09999999992,107294.299999988,349,5.81666666666667
"17/10/2024 16:52:46","M96542",9,"frustrated",33,2084.20000000001,3429.29999999853,110723.599999986,384,6.4
"17/10/2024 16:52:48","M96542",9,"bored",58,1450.70000000001,2534.60000000003,113258.199999986,386,6.43333333333333
"17/10/2024 16:52:51","M96542",9,"happy",62,2234.20000000001,3293.6999999985,116551.899999985,389,6.48333333333333
"17/10/2024 16:53:26","M96542",10,"happy",68,3001.29999999999,3996.79999999888,120548.699999984,424,7.06666666666667
"17/10/2024 16:53:31","M96542",10,"frustrated",39,1534.10000000003,4543.49999999965,125092.199999983,429,7.15
"17/10/2024 16:53:33","M96542",10,"bored",52,1417.29999999999,2534.5,127626.699999983,431,7.18333333333333
"17/10/2024 16:54:10","M96542",11,"happy",62,4835.39999999997,5768.39999999886,133395.099999982,468,7.8
"17/10/2024 16:54:14","M96542",11,"bored",62,2217.59999999998,4148.29999999923,137543.399999981,472,7.86666666666667
"17/10/2024 16:54:18","M96542",11,"frustrated",32,1784.10000000003,3417.29999999853,140960.69999998,476,7.93333333333333
"17/10/2024 16:54:52","M96542",12,"happy",62,1934.20000000007,2914.69999999856,143875.399999978,510,8.5
"17/10/2024 16:54:54","M96542",12,"bored",61,1484,2810.79999999888,146686.199999977,512,8.53333333333333
"17/10/2024 16:54:56","M96542",12,"frustrated",33,1017.20000000007,2167.80000000016,148853.999999977,514,8.56666666666667
"17/10/2024 16:47:44","M92404",0,"bored",10,3525.5,4453.19999999404,4453.19999999404,0,0
"17/10/2024 16:47:46","M92404",0,"frustrated",13,1832.6,2565.69999998808,7018.89999998212,2,0.0333333333333333
"17/10/2024 16:47:49","M92404",0,"happy",70,1424.1,2443.20000000596,9462.09999998808,5,0.0833333333333333
"17/10/2024 16:48:23","M92404",1,"frustrated",14,2620.10000000001,3431.39999999404,12893.4999999821,39,0.65
"17/10/2024 16:48:25","M92404",1,"bored",49,1588.4,2207.69999999404,15101.1999999762,41,0.683333333333333
"17/10/2024 16:48:28","M92404",1,"happy",51,2628.7,3286.69999998808,18387.8999999642,44,0.733333333333333
"17/10/2024 16:49:02","M92404",2,"happy",18,1710,2927.2,21315.0999999642,78,1.3
"17/10/2024 16:49:04","M92404",2,"frustrated",73,1048.90000000001,1773.8,23088.8999999642,80,1.33333333333333
"17/10/2024 16:49:06","M92404",2,"bored",94,1578.59999999999,2395.69999998211,25484.5999999463,82,1.36666666666667
"17/10/2024 16:49:41","M92404",3,"happy",16,1761,3511.30000000595,28995.8999999523,117,1.95
"17/10/2024 16:49:43","M92404",3,"frustrated",85,957.800000000017,1629.69999999405,30625.5999999463,119,1.98333333333333
"17/10/2024 16:49:44","M92404",3,"bored",91,924.600000000006,1561,32186.5999999463,120,2
"17/10/2024 16:50:19","M92404",4,"happy",18,2918.40000000002,3644,35830.5999999464,155,2.58333333333333
"17/10/2024 16:50:24","M92404",4,"bored",95,4411.89999999999,5229.10000000001,41059.6999999464,160,2.66666666666667
"17/10/2024 16:50:26","M92404",4,"frustrated",97,943.100000000006,1822.30000000002,42881.9999999464,162,2.7
"17/10/2024 16:51:00","M92404",5,"bored",98,2174.89999999999,3115.39999999997,45997.3999999463,196,3.26666666666667
"17/10/2024 16:51:03","M92404",5,"frustrated",96,2092,3055.5,49052.8999999463,199,3.31666666666667
"17/10/2024 16:51:07","M92404",5,"happy",3,2765,3873.69999999998,52926.5999999463,203,3.38333333333333
"17/10/2024 16:51:41","M92404",6,"bored",95,1960.70000000001,2803.39999998809,55729.9999999344,237,3.95
"17/10/2024 16:51:43","M92404",6,"frustrated",98,1589.79999999999,2375.09999998211,58105.0999999165,239,3.98333333333333
"17/10/2024 16:51:45","M92404",6,"happy",2,1184.70000000001,2214.69999999998,60319.7999999165,241,4.01666666666667
"17/10/2024 16:52:23","M92404",7,"happy",3,5450.39999999997,6717.69999999402,67037.4999999105,279,4.65
"17/10/2024 16:52:25","M92404",7,"bored",94,1043.39999999997,1809.99999999994,68847.4999999105,281,4.68333333333333
"17/10/2024 16:52:27","M92404",7,"frustrated",97,988.299999999988,1918.79999999999,70766.2999999105,283,4.71666666666667
"17/10/2024 16:53:00","M92404",8,"happy",3,1478,2237.09999998211,73003.3999998926,316,5.26666666666667
"17/10/2024 16:53:05","M92404",8,"frustrated",97,1094.90000000002,5556.19999998214,78559.5999998747,321,5.35
"17/10/2024 16:53:08","M92404",8,"bored",95,2132.79999999999,2788.59999999998,81348.1999998747,324,5.4
"17/10/2024 16:53:43","M92404",9,"frustrated",98,2458.29999999999,3656.09999999998,85004.2999998747,359,5.98333333333333
"17/10/2024 16:53:45","M92404",9,"happy",0,1026.70000000001,2392.90000000596,87397.1999998806,361,6.01666666666667
"17/10/2024 16:53:47","M92404",9,"bored",100,962.700000000012,1675.29999998212,89072.4999998627,363,6.05
"17/10/2024 16:54:21","M92404",10,"happy",2,1761.70000000001,2971.80000000598,92044.2999998687,397,6.61666666666667
"17/10/2024 16:54:23","M92404",10,"bored",99,1869.40000000002,2604.20000000001,94648.4999998687,399,6.65
"17/10/2024 16:54:28","M92404",10,"frustrated",99,1824.10000000003,4284.70000000001,98933.1999998688,404,6.73333333333333
"17/10/2024 16:55:04","M92404",11,"happy",2,1051.69999999995,5441.8999999821,104375.099999851,440,7.33333333333333
"17/10/2024 16:55:06","M92404",11,"bored",98,1208.70000000001,1931.09999999404,106306.199999845,442,7.36666666666667
"17/10/2024 16:55:09","M92404",11,"frustrated",98,1798.90000000002,2777.60000000003,109083.799999845,445,7.41666666666667
"17/10/2024 16:55:43","M92404",12,"bored",98,2012.09999999998,2926.89999999403,112010.699999839,479,7.98333333333333
"17/10/2024 16:55:46","M92404",12,"frustrated",98,2419.90000000002,3673.29999999405,115683.999999833,482,8.03333333333333
"17/10/2024 16:55:48","M92404",12,"happy",2,830.5,1719.69999998214,117403.699999815,484,8.06666666666667
"17/10/2024 16:48:29","M90747",0,"bored",81,3866.1,5571.70000019074,5571.70000019074,0,0
"17/10/2024 16:48:32","M90747",0,"happy",15,2633,3882.5,9454.20000019074,3,0.05
"17/10/2024 16:48:36","M90747",0,"frustrated",68,2499.7,3628.50000009537,13082.7000002861,7,0.116666666666667
"17/10/2024 16:49:13","M90747",1,"frustrated",25,4349.29999999999,5881.30000009536,18964.0000003815,44,0.733333333333333
"17/10/2024 16:49:16","M90747",1,"happy",50,1866.39999999999,2947.19999980927,21911.2000001907,47,0.783333333333333
"17/10/2024 16:49:22","M90747",1,"bored",77,4049.2,6265.40000009537,28176.6000002861,53,0.883333333333333
"17/10/2024 16:50:04","M90747",2,"frustrated",73,9065.59999999999,10498.3,38674.9000002861,95,1.58333333333333
"17/10/2024 16:50:10","M90747",2,"happy",19,4665.89999999999,6013.10000000001,44688.0000002861,101,1.68333333333333
"17/10/2024 16:50:13","M90747",2,"bored",91,2016.39999999999,3347.99999990463,48036.0000001907,104,1.73333333333333
"17/10/2024 16:50:48","M90747",3,"frustrated",95,3116.30000000002,4328.39999980928,52364.4,139,2.31666666666667
"17/10/2024 16:50:52","M90747",3,"happy",24,2933,4138.10000000001,56502.5,143,2.38333333333333
"17/10/2024 16:50:56","M90747",3,"bored",93,2249.89999999999,3314.10000019072,59816.6000001908,147,2.45
"17/10/2024 16:51:41","M90747",4,"bored",95,12964.7,14046.8000001907,73863.4000003815,192,3.2
"17/10/2024 16:51:44","M90747",4,"frustrated",96,1549.70000000001,3093.00000019075,76956.4000005722,195,3.25
"17/10/2024 16:51:48","M90747",4,"happy",8,2766.39999999999,4058.99999990463,81015.4000004768,199,3.31666666666667
"17/10/2024 16:52:25","M90747",5,"happy",8,4732.69999999995,5947.79999980924,86963.2000002861,236,3.93333333333333
"17/10/2024 16:52:28","M90747",5,"frustrated",95,1999.79999999999,3277.09999999998,90240.3000002861,239,3.98333333333333
"17/10/2024 16:52:31","M90747",5,"bored",98,2066.39999999997,3226.89999990462,93467.2000001907,242,4.03333333333333
"17/10/2024 16:53:14","M90747",6,"happy",9,10881.7,12240.5999999046,105707.800000095,285,4.75
"17/10/2024 16:53:20","M90747",6,"bored",98,2666.20000000001,5315.59999980929,111023.399999905,291,4.85
"17/10/2024 16:53:23","M90747",6,"frustrated",97,2466.5,3647.79999980924,114671.199999714,294,4.9
